artist_name,occurrences,theme_weight
johnny cash,190,0.963346171
ella fitzgerald,188,0.953443537
dean martin,146,0.962577286
willie nelson,131,0.966923641
george jones,107,0.955846347
elvis presley,97,0.955798855
dolly parton,96,0.951374543
waylon jennings,95,0.956869767
george strait,92,0.961141315
nina simone,82,0.965211579
the beach boys,81,0.953542134
eric clapton,78,0.965853024
phish,75,0.949056896
conway twitty,74,0.940019519
marty robbins,74,0.942372336
aretha franklin,71,0.944897923
bob dylan,69,0.957667902
merle haggard,68,0.968026717
the beatles,66,0.892549615
ray price,66,0.94798074
alice cooper,65,0.947341811
nat king cole,64,0.958802879
frank zappa,63,0.927893575
b.b. king,62,0.954629021
santana,61,0.940570906
louis armstrong,59,0.968359873
green day,59,0.941932157
billie holiday,55,0.953564675
"earth, wind & fire",52,0.951782433
tammy wynette,51,0.956524486
tony bennett,51,0.972283509
the dear hunter,49,0.958129656
don gibson,49,0.935733557
metallica,48,0.953791191
ub40,48,0.962949887
queen,47,0.948281415
meshuggah,46,0.961304718
the black keys,46,0.950041018
dinah washington,46,0.951969185
johnny mathis,45,0.955466515
hank williams,45,0.959646562
alan jackson,45,0.954047353
alabama,43,0.962055554
jethro tull,41,0.955246137
sam cooke,41,0.95795054
thin lizzy,40,0.955882469
emmylou harris,40,0.968853289
joe bonamassa,40,0.923121949
ac/dc,40,0.896398502
drake,39,0.965570248
the fall,39,0.974347188
slightly stoopid,39,0.933913607
pink floyd,39,0.92485155
the platters,38,0.972849074
the rolling stones,38,0.94697276
roy orbison,38,0.938016671
iron maiden,38,0.930498275
slayer,38,0.953712488
bonnie raitt,38,0.937368216
hank thompson,38,0.955096969
blue öyster cult,37,0.973914996
kenny chesney,37,0.954724299
bad religion,37,0.949767344
burning spear,37,0.960946753
311,37,0.945352992
loretta lynn,36,0.949327079
electric light orchestra,36,0.942741833
korn,36,0.926386623
thee oh sees,36,0.966051321
andy williams,36,0.965949918
bob marley & the wailers,35,0.940684239
wire,35,0.946904042
the byrds,35,0.948730562
muse,35,0.879614104
michael franks,35,0.953768599
sarah vaughan,35,0.93686701
radiohead,34,0.911045487
reba mcentire,34,0.978411289
patsy cline,34,0.951363059
steel pulse,34,0.941503526
joe cocker,34,0.961858373
jimmy cliff,34,0.955591666
the cramps,34,0.943389551
j.j. cale,34,0.958625414
mötley crüe,34,0.946757859
michael franti & spearhead,34,0.945114061
judas priest,34,0.958893794
the kinks,33,0.94875187
breaking benjamin,33,0.915352582
randy travis,33,0.967395233
jean shepard,33,0.965783592
the impressions,33,0.963073088
sonic youth,33,0.966971454
glen campbell,32,0.927006967
peter tosh,32,0.946979591
tim mcgraw,32,0.958279709
doris day,32,0.976190614
david bowie,32,0.951846344
abba,31,0.944970559
al green,31,0.9427769
perry como,31,0.935063582
michael jackson,31,0.95291711
jj grey & mofro,31,0.926958264
david allan coe,31,0.950392403
black rebel motorcycle club,31,0.933702115
kenny rogers,31,0.959764753
"hank williams, jr.",31,0.95182289
alice in chains,31,0.940538081
rush,31,0.929967333
the moody blues,31,0.969013765
whitesnake,31,0.930716642
system of a down,31,0.926224252
the replacements,30,0.940840374
miranda lambert,30,0.940815705
etta james,30,0.950822417
r.e.m.,30,0.958045792
buddy guy,30,0.955403325
deep purple,30,0.955891185
three days grace,29,0.933422893
megadeth,29,0.95440418
al jarreau,29,0.951850248
linda ronstadt,29,0.935747169
dirty heads,29,0.935068594
imagine dragons,29,0.895277942
dennis brown,29,0.954746013
robin trower,29,0.968894605
gordon lightfoot,29,0.963166093
ziggy marley & the melody makers,28,0.960720367
tool,28,0.807806625
chuck berry,28,0.949888581
dwight yoakam,28,0.972603093
lefty frizzell,28,0.945044396
wailing souls,28,0.962982693
gregory isaacs,28,0.930785162
mariah carey,28,0.943524756
chris ledoux,28,0.953886733
don williams,28,0.956556424
between the buried and me,28,0.952480125
neil sedaka,28,0.965739975
the black angels,28,0.96317751
jim reeves,28,0.978816864
ronnie milsap,28,0.966984909
the white stripes,28,0.932372109
widespread panic,28,0.962334462
a tribe called quest,27,0.949178739
little feat,27,0.954503477
yes,27,0.950350844
george benson,27,0.960782781
bobby darin,27,0.971432817
lil wayne,27,0.940017233
kanye west,27,0.950934567
dan fogelberg,27,0.96434293
soja,27,0.934510811
the allman brothers band,27,0.943283716
misfits,27,0.948778383
john mayer,26,0.91167811
journey,26,0.950526617
thievery corporation,26,0.951370628
the smashing pumpkins,26,0.936997663
kenny g,26,0.97585242
rascal flatts,26,0.949899837
pixies,25,0.953125668
elton john,25,0.944580398
otis redding,25,0.925862521
diana krall,25,0.969825978
the kingston trio,25,0.92742399
the everly brothers,25,0.930505943
the who,25,0.948285976
siouxsie and the banshees,25,0.965338871
john prine,25,0.95631615
vince gill,25,0.947952516
ray charles,25,0.94296552
the doobie brothers,25,0.936683683
bobby bare,25,0.961272458
gary moore,25,0.938521632
stan getz,25,0.932516107
nazareth,25,0.960156829
cage the elephant,25,0.950454858
fall out boy,25,0.939401889
the cure,25,0.946667003
pepper,25,0.943339748
the clash,24,0.895818757
panic! at the disco,24,0.897250516
the wood brothers,24,0.930281995
tedeschi trucks band,24,0.937305026
"harry connick, jr.",24,0.971691404
x,24,0.953556056
ricky nelson,24,0.947099661
lucky dube,24,0.940407911
vybz kartel,24,0.970588856
chet baker,24,0.958172945
pantera,24,0.960340303
dr. john,24,0.936148251
john lee hooker,24,0.954721651
38 special,24,0.930095995
rage against the machine,24,0.943401671
the smiths,23,0.941838954
donovan,23,0.95039238
traffic,23,0.94502224
ted nugent,23,0.959878695
bing crosby,23,0.970948066
deftones,23,0.898634503
robert plant,23,0.924026067
jason aldean,23,0.950690772
queens of the stone age,23,0.932427975
foo fighters,23,0.938944157
cocteau twins,23,0.970611449
billy joel,23,0.943761674
jerry garcia,23,0.944188313
bread,22,0.959445367
the band,22,0.943053238
twenty one pilots,22,0.904310682
roxy music,22,0.92115518
g. love & special sauce,22,0.924285145
black uhuru,22,0.972497099
john holt,22,0.948747917
gary allan,22,0.936518926
joe walsh,22,0.961547081
todd rundgren,22,0.950915889
warren zevon,22,0.948619928
social distortion,22,0.923677893
the supremes,22,0.931814555
ozzy osbourne,22,0.942952543
the monkees,22,0.93469107
fleetwood mac,22,0.947719899
nine inch nails,22,0.900580688
jamiroquai,22,0.920164855
ty segall,22,0.93355101
ufo,22,0.957825505
muddy waters,22,0.946724578
bad company,21,0.950017061
zz top,21,0.917184295
red hot chili peppers,21,0.918208536
jonny lang,21,0.950536735
culture,21,0.953548106
kenny wayne shepherd,21,0.910069106
buddy holly,21,0.952084563
connie francis,21,0.961158502
one direction,21,0.938637601
krokus,21,0.908816041
guns n' roses,21,0.975959133
little river band,21,0.943118672
vern gosdin,21,0.967199913
the police,21,0.929290201
black sabbath,21,0.952603085
frankie laine,21,0.972038526
tracy lawrence,21,0.945366351
godsmack,21,0.933450951
wipers,21,0.965115292
ballyhoo!,21,0.914666892
iration,21,0.9517281
harry nilsson,21,0.952360381
carole king,21,0.917796987
boney james,21,0.945729141
the marshall tucker band,20,0.973804805
skillet,20,0.900538196
dave matthews band,20,0.948332473
the movement,20,0.947592798
neil diamond,20,0.964499057
stevie nicks,20,0.961567145
america,20,0.961309333
jimi hendrix,20,0.955947963
steely dan,20,0.952721447
the animals,20,0.925333744
julie london,20,0.941535385
nancy sinatra,20,0.952915942
"crosby, stills & nash",20,0.950016878
cake,20,0.964719821
van morrison,20,0.937106425
creed,20,0.975947081
jefferson airplane,20,0.96535838
glenn miller,20,0.959865654
nirvana,20,0.915717988
all them witches,20,0.931423397
bee gees,20,0.921146757
badfinger,20,0.931347589
"emerson, lake & palmer",20,0.973102724
zac brown band,20,0.947262906
the black crowes,20,0.945201931
jackie wilson,20,0.95113756
wings,20,0.956116354
aerosmith,20,0.922517558
kansas,20,0.972711289
brenda lee,20,0.969781612
the kills,20,0.897952509
fats domino,20,0.873280055
chevelle,20,0.925229569
the birthday party,20,0.944219853
judy garland,19,0.949084532
dead moon,19,0.970667937
tesseract,19,0.974428831
donna summer,19,0.952096404
eddie money,19,0.88944145
stonewall jackson,19,0.954935608
lester flatt,19,0.947418178
chicago,19,0.968714791
chris rea,19,0.970729738
madonna,19,0.944124497
the oak ridge boys,19,0.941011767
the weeknd,19,0.939315504
u2,19,0.949094229
israel vibration,19,0.92401645
peter frampton,19,0.95779286
ricky skaggs,19,0.952485326
xavier rudd,19,0.941280956
mumford & sons,19,0.940864134
lesley gore,19,0.909752844
ziggy marley,19,0.932799205
sublime,19,0.96594443
king crimson,18,0.957424869
genesis,18,0.964429001
mac miller,18,0.967818741
pearl jam,18,0.92361203
billy bragg,18,0.957867203
harry belafonte,18,0.966517524
john anderson,18,0.965508761
uncle tupelo,18,0.945165331
mary j. blige,18,0.911588264
"blood, sweat & tears",18,0.93273497
the offspring,18,0.937464827
heart,18,0.903695422
the green,18,0.949216533
xtc,18,0.967333556
kate bush,18,0.917668865
blink-182,18,0.931715483
"crosby, stills, nash & young",18,0.935823604
mikey dread,18,0.960696424
sun ra,18,0.9333541
staind,17,0.943857514
carrie underwood,17,0.956468222
neil young,17,0.944997482
sizzla,17,0.957659803
stick figure,17,0.916138456
shania twain,17,0.944553076
arctic monkeys,17,0.932996823
dispatch,17,0.962345831
tears for fears,17,0.960341059
yellowman,17,0.940665102
weezer,17,0.924274633
kiss,17,0.923131539
the cranberries,17,0.88733464
toots & the maytals,17,0.944016947
the cars,17,0.924937889
foreigner,17,0.952229252
kenny loggins,17,0.959340195
phil collins,17,0.964925955
modest mouse,17,0.971418212
alborosie,17,0.979889849
shinedown,17,0.919009329
blues saraceno,17,0.878674464
porter wagoner,17,0.968900123
charley pride,17,0.934794061
eric church,17,0.946656566
keb' mo',17,0.96139544
hank locklin,17,0.963765093
bill evans,17,0.952001391
the judds,17,0.90423704
eagles of death metal,17,0.908188007
minnie riperton,17,0.964427196
paul simon,17,0.944191364
stephen stills,17,0.965883598
grand funk railroad,17,0.950901384
jerry lee lewis,17,0.919170993
delbert mcclinton,17,0.968895206
hiroshima,16,0.951340861
clint black,16,0.955044263
whitney houston,16,0.963868485
john mellencamp,16,0.956331816
keith whitley,16,0.967326598
lyle lovett,16,0.969948927
oscar peterson,16,0.976666432
luciano,16,0.956917476
molly hatchet,16,0.921220281
astrud gilberto,16,0.945807911
bring me the horizon,16,0.924255202
incubus,16,0.96286845
jeff beck,16,0.927904129
oingo boingo,16,0.942082146
keith urban,16,0.942412075
peggy lee,16,0.965519827
trace adkins,16,0.96070799
morcheeba,16,0.92069772
my morning jacket,16,0.95907303
faith hill,16,0.94613071
easy star all-stars,16,0.945999888
randy rogers band,16,0.93926783
engelbert humperdinck,16,0.963979667
diamond rio,16,0.966863398
inxs,16,0.962015722
depeche mode,16,0.967471637
dierks bentley,16,0.958659809
maze,16,0.907722487
four tops,16,0.976472227
carpenters,16,0.951986446
blondie,16,0.957617959
dusty springfield,16,0.924108594
coldplay,16,0.92107431
eddy arnold,16,0.940078825
paul mccartney,16,0.958881182
death from above 1979,16,0.971208617
talking heads,16,0.959817696
quincy jones,16,0.948016166
louis prima,16,0.907759672
lynyrd skynyrd,16,0.956538049
the expendables,15,0.893487878
echo & the bunnymen,15,0.917309754
connie smith,15,0.964496921
donny hathaway,15,0.952700823
blossom dearie,15,0.975374214
lukas nelson and promise of the real,15,0.976705066
beastie boys,15,0.902572537
blake shelton,15,0.954566974
heartless bastards,15,0.903553457
pat benatar,15,0.934904042
post malone,15,0.975231046
cher,15,0.95519527
rebelution,15,0.922023495
a perfect circle,15,0.927667601
caravan palace,15,0.918098586
sammy davis jr.,15,0.91644318
